,name,phone number,address
0,예솔어린이집,02-857-1113,"서울특별시 금천구 벚꽃로 100 ,105동 102호 (독산제1동)"
1,반포예원어린이집,02-537-3921,"서울특별시 서초구 사평대로 240 ,502동 107호 (반포4동)"
2,구립푸른어린이집,010-2249-9250,"서울특별시 동작구 동작대로35길 46 ,이수푸르지오더프레티움 관리동 (사당제2동)"
3,서초구립 라클라스어린이집,02-534-2122,서울특별시 서초구 서초중앙로 206 (반포1동)
4,위례바른숲어린이집,02-401-7001,서울특별시 송파구 위례송파로5길 16 (위례동)
5,봄빛어린이집,02-892-2006,"서울특별시 금천구 벚꽃로 100 ,독산역롯데캐슬아파트 106동 103호 (독산제1동)"
6,구립 푸른들어린이집,02-6748-0202,서울특별시 은평구 은평로 240 (응암제1동)
7,구립독산롯데캐슬어린이집,02-805-7605,"서울특별시 금천구 벚꽃로 100 ,독산역 롯데캐슬아파트 단지내 (독산제1동)"
8,근로복지공단 마포어린이집,02-322-7333,서울특별시 마포구 연남로 49-1 (연남동)
9,위례아이숲어린이집,02-448-1718,"서울특별시 송파구 위례북로 30 ,(거여동, 위례포레샤인 17단지) (위례동)"
10,구립 꿈여울어린이집,02-358-2525,서울특별시 은평구 통일로89길 5-6 (갈현제1동)
11,구립 자양도담어린이집,02-455-7000,"서울특별시 광진구 아차산로44가길 5 ,(자양동 231-51) (자양제1동)"
12,구립 중곡하나어린이집,02-465-1004,서울특별시 광진구 동일로76길 59 (중곡제3동)
13,근로복지공단 곰달래어린이집,02-2646-7142,서울특별시 강서구 곰달래로53길 30-20 (화곡제4동)
14,원진어린이집,02-2684-7444,"서울특별시 구로구 고척로55길 21 ,(고척동, 원진어린이집) (고척제2동)"
15,성민가정어린이집,02-6093-8643,"서울특별시 강서구 화곡로68길 115 ,101동 111호 (등촌제1동)"
16,산들어린이집,02-2088-7212,"서울특별시 마포구 대흥로24길 24 ,마포프레스티지자이 1단지 내 104동 앞 (염리동)"
17,해들어린이집,02-716-2007,"서울특별시 마포구 숭문16다길 10-5 ,마포프레스티지자이 2단지 내 203동 옆 (염리동)"
18,강남구육아종합지원센터(분원점),02-568-1792,서울특별시 강남구 봉은사로114길 43 (삼성1동)
19,구립 아이샘어린이집,02-6953-2911,"서울특별시 양천구 중앙로43길 14 ,래미안목동아델리체 (신정3동)"
20,구립 아이숲어린이집,02-2605-0061,"서울특별시 양천구 중앙로43길 14 ,래미안목동아델리체 (신정3동)"
21,로카키즈어린이집,02-739-8042,"서울특별시 종로구 새문안로2길 10 ,1층 (사직동)"
22,숲속별어린이집,02-395-9565,"서울특별시 서대문구 홍은중앙로3길 9 ,북한산두산위브아파트 (홍은제1동)"
23,위례봄어린이집,02-400-8544,"서울특별시 송파구 위례광장로 121 ,2414동 101호 (위례동)"
24,도토리소풍넥슨 대치어린이집,02-565-7900,서울특별시 강남구 역삼로90길 25 (대치2동)
25,쿠키즈(coukids) 어린이집,02-6204-2114,"서울특별시 강남구 테헤란로 332 ,HJ타워 3층 (역삼2동)"
26,라온어린이집,02-842-9376,서울특별시 영등포구 신길로 29 (대림제1동)
27,삼각지어린이집,02-6273-4200,"서울특별시 용산구 백범로99길 40 ,1,2층 (한강로동)"
28,늘푸른어린이집,02-6956-1530,서울특별시 서대문구 홍은중앙로1길 100 (홍은제1동)
29,근로복지공단 등촌어린이집,02-2659-3370,서울특별시 강서구 강서로56나길 128 (등촌제3동)
30,해오름어린이집,02-888-8646,"서울특별시 동작구 상도로 421 ,현대아파트 108-103 (상도제1동)"
31,구립 라온어린이집,02-2655-0644,서울특별시 강서구 곰달래로53길 112 (화곡제4동)
32,구립 목3동공원어린이집,02-2645-3220,서울특별시 양천구 목동중앙남로16나길 46 (목3동)
33,구립 아인어린이집,02-2647-8798,서울특별시 양천구 목동중앙남로3길 23-1 (목4동)
34,구립 해든어린이집,02-6956-2454,서울특별시 양천구 목동남로4길 100 (신정7동)
35,구립아름어린이집,02-821-2021,"서울특별시 동작구 양녕로 220 ,상도역롯데캐슬아파트 관리동 (상도제2동)"
36,구립지혜어린이집,02-891-7942,"서울특별시 금천구 시흥대로76길 19 ,골드빌 101호 (시흥제1동)"
37,구립트윈파크어린이집,02-3280-2320,"서울특별시 동작구 노량진로23가길 23 ,래미안트윈파크아파트 관리동 (노량진제1동)"
38,꿈동산어린이집,02-2618-9382,"서울특별시 구로구 남부순환로95길 16 ,101동 101호(개봉동, 삼호아파트) (개봉제2동)"
39,느티나무어린이집,02-3493-0228,서울특별시 도봉구 도당로13바길 19 (방학제2동)
40,늘봄어린이집,02-996-5311,서울특별시 도봉구 우이천로 487-1 (쌍문제1동)
41,도봉숲어린이집,02-956-7474,서울특별시 도봉구 마들로 684-10 (도봉제2동)
