,filename,width,height,fps,frame count
0,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-35-1.mp4,1104,540,30.0,305
1,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-35-2.mp4,1104,540,30.0,165
2,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-36-2.mp4,648,488,29.4375,157
3,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-38-1.mp4,1912,752,23.863636363636363,70
4,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-38-3.mp4,1912,752,22.90909090909091,42
5,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-138-1.mp4,824,492,30.0,42
6,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-138-2.mp4,936,428,30.0,73
7,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-39-1.mp4,864,476,30.0,73
8,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-40-1.mp4,984,492,30.0,51
9,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-40-2.mp4,984,492,30.0,32
10,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-137-1.mp4,1008,432,30.0,309
11,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-42-1.mp4,624,440,30.0,74
12,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-43-1.mp4,992,420,30.0,40
13,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-43-2.mp4,992,420,30.0,77
14,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-43-3.mp4,992,420,30.0,49
15,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-142-2.mp4,1064,380,30.0,57
16,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-142-3.mp4,1064,380,30.0,40
17,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-143-1.mp4,840,392,30.0,46
18,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-143-2.mp4,840,392,30.0,75
19,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-50-1.mp4,992,496,30.0,59
20,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-145-1.mp4,744,368,30.0,76
21,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-145-2.mp4,744,368,30.0,42
22,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-145-3.mp4,744,368,30.0,69
23,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-145-4.mp4,744,368,30.0,60
24,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-54-1.mp4,392,548,30.0,82
25,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-146-1.mp4,640,388,30.0,111
26,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-146-2.mp4,640,388,30.0,103
27,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-55-1.mp4,1000,460,30.0,142
28,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-55-2.mp4,1000,492,29.724770642201836,108
29,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-146-3.mp4,640,388,30.0,96
30,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-146-4.mp4,640,388,30.0,68
31,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-58-1.mp4,720,492,30.0,44
32,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-147-1.mp4,392,388,30.0,144
33,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-58-2.mp4,808,492,30.0,109
34,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-59-1.mp4,672,492,30.0,83
35,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-147-2.mp4,528,388,30.0,104
36,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-60-1.mp4,720,492,30.0,155
37,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-60-2.mp4,720,492,30.0,103
38,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-62-1.mp4,992,552,30.0,118
39,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-68-1.mp4,808,500,30.0,61
40,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-68-2.mp4,808,440,30.0,82
41,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-148-1.mp4,1032,432,30.0,61
42,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-148-2.mp4,1032,432,30.0,117
